Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,fa9dDEFF1e5d9b4,Jefferson Ltd,https://www.cowan.org/,Chad,Exclusive responsive intranet,1998,Veterinary,380
2,CCBc1EF190D2d35,Jones LLC,https://www.gamble-elliott.com/,New Caledonia,Future-proofed multi-state database,1979,Civic / Social Organization,1947
3,0776D690C5bBF87,Bean and Sons,https://walker.org/,Somalia,Open-source value-added Graphical User Interface,1990,Hospitality,8989
4,acDAf5289f8dc5C,"Meza, Oconnell and Watts",https://www.hays.com/,Paraguay,Horizontal user-facing orchestration,1971,Architecture / Planning,7489
5,6d045fc621Eca5B,Leon-Christian,http://webster-kramer.com/,Guinea-Bissau,Synchronized didactic forecast,1994,Marketing / Advertising / Sales,4835
6,d0e5cC4Dd2De0da,Woodward PLC,http://www.bray.com/,Solomon Islands,Digitized mobile data-warehouse,2006,Fishery,1442
7,f6FbDe4cfDd03F2,"Vaughan, Sullivan and Abbott",https://www.ramsey.net/,Libyan Arab Jamahiriya,Synchronized optimizing migration,1970,Leisure / Travel,9376
8,a9a6c388E7A0Ec8,"Duncan, Terrell and Gutierrez",http://www.lucas-beck.com/,Slovakia (Slovak Republic),Synergistic logistical open system,2016,Events Services,1755
9,8b3bebb6fee43fA,Vaughn-Obrien,https://moyer-glass.com/,Faroe Islands,Profit-focused methodical array,1982,Packaging / Containers,6344
10,0FaDF4db6A8b47A,Jefferson Ltd,https://www.lynn-robles.net/,South Georgia and the South Sandwich Islands,Polarized homogeneous core,1990,Automotive,5230
11,3aD6ba8f11bacE9,"Mcclure, Salinas and Huynh",https://www.hensley.net/,Jersey,Future-proofed composite conglomeration,1993,Information Technology / IT,3612
12,eFDD3C7010Be2cA,Mora and Sons,https://rocha.com/,Anguilla,Open-architected client-server open architecture,2007,Food / Beverages,7283
13,523f61BC0D60191,Harper-Mcbride,https://huber-vaughan.com/,French Southern Territories,Organized optimal challenge,1970,Mental Health Care,6438
14,e5AC5CFa7dc3EbF,Tucker Group,https://www.bullock-odom.com/,Latvia,Multi-channeled bi-directional customer loyalty,1992,Pharmaceuticals,9610
15,a0E96b0e932FcF5,"Merritt, Charles and Malone",http://www.dillon.com/,Cocos (Keeling) Islands,Persevering regional interface,2022,Information Technology / IT,3646
16,0f47D5fc77caE4e,Parks-George,https://meza-frank.com/,Guyana,Open-architected tertiary project,1972,Computer Software / Engineering,1904
17,Bc3FdDc411e7bCc,Mcpherson-Logan,https://knight.com/,Tajikistan,Reactive client-server functionalities,1971,Restaurants,9721
18,9cB667cB2Dd3Bd0,Lucero Inc,https://www.roberson-erickson.com/,Australia,Stand-alone scalable groupware,2000,Internet,8005
19,b6e0bA4fEB1e8Ca,Mcdaniel-Kane,https://lowe.org/,Netherlands,De-engineered real-time moratorium,1973,Restaurants,5348
20,6D1731FFb5F71f9,"Peters, Woodward and Barron",http://www.west.net/,Nigeria,Focused holistic matrix,2018,Military Industry,2717
21,3C8842c4486f1d0,Baker-Montgomery,https://www.porter-crane.biz/,Cape Verde,Polarized dedicated alliance,1979,Insurance,5877
